Message,Mean,Deviation,Count
Scale2D,1018.670502,73.644063,262144
Scale3D,930.331345,36.913253,524288
Multiply2D,905.565948,26.364313,524288
Multiply3D,1146.823730,27.089997,262144
Translate2D,886.934357,27.225451,524288
Translate3D,1102.207336,10.899920,262144
Substract2D,1014.142303,40.291295,262144
Substract3D,1334.180832,60.405712,262144
Length2D,572.698288,35.893454,524288
Length3D,696.754074,39.724073,524288
DotProduct2D,966.006279,36.351718,524288
DotProduct3D,1186.862411,58.653796,262144
Primes100,53163.710938,4216.853010,8192
Memory,62730.708008,2910.819729,4096
Sestoft,136.674242,12.670851,2097152